16:12:25: Key.cmd
16:12:26: x
16:12:26: d
16:12:26: d
16:12:27: d
16:12:27: d
16:12:27: Key.esc
16:12:59: o
16:12:59: a
16:13:00: Key.backspace
16:13:01: l
16:13:01: a
16:13:01: Key.enter
16:13:02: y
16:13:02: Key.backspace
16:13:03: t
16:13:03: o
16:13:03: y
16:13:03: Key.space
16:13:03: e
16:13:03: n
16:13:03: Key.space
16:13:03: t
16:13:04: r
16:13:04: i
16:13:04: b
16:13:05: u
16:13:05: n
16:13:05: a
16:13:05: l
16:13:05: e
16:13:05: s
16:13:05: Key.enter
